Name	City	Zip	Score	Non-Smoking	Date	Street
DOLLAR GENERAL # 7127	HUNTSVILLE	35805	92	Yes	8/4/2014	2900-A Triana Blvd SW
DOLLAR GENERAL # 8302	HUNTSVILLE	35801	93	Yes	7/22/2014	2340 Whitesburg Dr
DOLLAR GENERAL # 8520	HUNTSVILLE	35816	93	Yes	4/9/2014	4710 University Dr., NW
DOLLAR GENERAL # 8653	HAZEL GREEN	35750	92	Yes	12/8/2014	101 Twin Rivers Dr
DOLLAR GENERAL # 8718	HUNTSVILLE	35810	88	Yes	2/27/2014	2601 N. Memorial Parkway
DOLLAR GENERAL # 8898	MADISON	35757	90	Yes	2/24/2014	329 Pine Grove Rd
DOLLAR GENERAL # 9196	HUNTSVILLE	35811	89	Yes	9/5/2014	2210 Meridian St. N
DOLLAR GENERAL # 9461	HARVEST	35749	93	Yes	7/23/2014	5836 Hwy 53, N
DOLLAR GENERAL # 9883	HUNTSVILLE	35811	93	Yes	1/26/2015	272 Ryland Pike
DOLLAR GENERAL MARKET # 12010	MADISON	35758	93	Yes	7/22/2014	8466 Old Madison Pike
DOLLAR GENERAL MARKET # 9813	HUNTSVILLE	35810	94	Yes	12/4/2014	3700-J Blue Spring Rd
DOLLAR TREE # 110	HUNTSVILLE	35802	90	Yes	12/8/2014	5000 Whitesburg Drive
DOLLAR TREE # 1755	MADISON	35758	90	Yes	1/29/2015	8580 Madison Blvd.
DOLLAR TREE # 2500	HUNTSVILLE	35803	97	Yes	5/20/2014	11700 S. Memorial Pkwy, SW  St
DOLLAR TREE # 3051	HUNTSVILLE	35805	92	Yes	11/5/2014	2250 Sparkman Drive
DOLLAR TREE # 4733	MADISON	35758	93	Yes	4/23/2014	8213-C Hwy 72 W
EARTH FARE # 510 (RETAIL)	HUNTSVILLE	35806	93	Yes	3/4/2015	5900 University  Drive # C
FAMILY DOLLAR STORE # 10237	HUNTSVILLE	35805	100	Yes	12/3/2014	503 Jordan Lane NW
FAMILY DOLLAR STORE # 2662	HAZEL GREEN	35750	96	Yes	2/13/2015	14155 Hwy 231/431 N
FAMILY DOLLAR STORE # 3227	HUNTSVILLE	35801	94	Yes	8/14/2014	809 Wellman Ave NE
FAMILY DOLLAR STORE # 334	HUNTSVILLE	35805	91	Yes	8/13/2014	3610 Governors Dr SW
FAMILY DOLLAR STORE # 3751	HUNTSVILLE	35811	96	Yes	12/10/2014	2700 Winchester Rd NE
FAMILY DOLLAR STORE # 4798	HUNTSVILLE	35816	93	Yes	4/2/2014	2501 Jordan Lane NW
FAMILY DOLLAR STORE # 6724	HUNTSVILLE	35810	94	Yes	4/2/2014	3407 Pulaski Pike
FAMILY DOLLAR STORE # 6736	HUNTSVILLE	35810	91	Yes	12/3/2014	2512 Winchester Rd
FAMILY DOLLAR STORE # 7152	HUNTSVILLE	35805	94	Yes	8/4/2014	3321 Triana Blvd SW
FOOD VALU (RETAIL)	HUNTSVILLE	35811	96	Yes	12/1/2014	1762 Winchester Road
FRED'S STORE # 1943	MADISON	35757	90	Yes	3/26/2014	7271 Wall Triana Hwy
FUEL CITY (ISATIS INC.)	HUNTSVILLE	35805	92	Yes	8/26/2014	3705 Drake Ave
GLORY AFRIKAN STORE	HUNTSVILLE	35805	92	Yes	8/4/2014	3204 9th Avenue
GRINER'S FOODLAND (RETAIL)	HAZEL GREEN	35750	98	Yes	8/28/2014	14470 Hwy 231/431 N
HG DISCOUNT TOBACCO	HAZEL GREEN	35750	99		12/3/2014	13669 Highway 231/431 N, Suite
HOLIDAY FOOD (RETAIL)	HUNTSVILLE	35816	93	Yes	3/13/2015	2701 Patton Road Suite A
HUNTSVILLE CITY SCHOOLS-WAREHOUSE	HUNTSVILLE	35801	97	Yes	10/30/2014	714 Bob Wallace Avenue
