Name	City	Zip	Score	Non-Smoking	Date	Street
REGAL'S HOLLYWOOD 18 CINEMAS	HUNTSVILLE	35801	98	Yes	1/22/2015	3312 S. Memorial Pkwy
RIVERTON ELEMENTARY SCHOOL [POPCORN]	HUNTSVILLE	35811	100	Yes	8/11/2014	2615  Winchester Road
ROBERTSON GOLF MANAGEMENT, INC DBA BECKY PIERCE GOLF COURSE	HUNTSVILLE	35801	99	Yes	5/1/2014	2151 Airport Rd
ROCKET CITY POPS	HUNTSVILLE	35805	97		11/26/2014	2300 Governors Dr SW
ROLLER TIME LLC	HUNTSVILLE	35801	95	Yes	4/22/2014	707 Arcadia Circle
ROUKH INCDBA (JET PEP)	MADISON	35758	94	Yes	5/14/2014	7850 Hwy 72 W
S & M FOOD MART INC.	OWENS CROSS ROADS	35763	95	Yes	1/30/2015	110 Wilson Mann Rd
SAFAR INC. DBA HARVEST SHOP RITE (PIZZA)	HARVEST	35749	97	Yes	12/9/2014	1820 Nick Davis Rd
SAM FIRST DBA BUD'S CONVENIENCE STORE	MADISON	35758	94	Yes	4/30/2014	101 Kyser Blvd
SANDELLA'S	HUNTSVILLE	35899	97	Yes	8/27/2014	301 Sparkman Drive
SANDHURST PARK CONCESSIONS	HUNTSVILLE	35803	97	Yes	5/9/2013	2928 Green Cove Rd
SAUCE LLC DBA ATHLETIC CLUB ALABAMA	HUNTSVILLE	35802	94	Yes	3/24/2014	2100 Members Drive SW
SCHLOTZSKY'S DELI	MADISON	35758	94	Yes	1/9/2015	8969 Madison Blvd.
SEOUL  ORIENTAL  GROCERIES	HUNTSVILLE	35802	98	Yes	1/15/2015	7908 S. Memorial  Parkway
SERVICE FOOD (FUEL CITY)	HUNTSVILLE	35811	92	Yes	12/2/2014	404 Hwy 72 E
SHADDRACK'S	HUNTSVILLE	35805	92	Yes	1/13/2015	3709 Governors Drive
SHAPEUP NUTRITION BAR	MADISON	35758	94	Yes	1/27/2015	130 Park Square Lane
SHELL FOOD MART	HUNTSVILLE	35816	81	Yes	1/20/2015	2880 Jordan Lane
SHELL FOOD MART (MAT INC DBA)	HUNTSVILLE	35810	86	Yes	2/19/2015	2599 Sparkman Dr
SHORT STOP, THE	HUNTSVILLE	35801	94	Yes	3/17/2014	1800 University Drive
SHOWCASE LOUNGE	HUNTSVILLE	35806	89	No	1/13/2015	6400-A Hwy 72 W
SHREE VERAHI INC. DBA CONOCO	HAZEL GREEN	35750	95	No	11/26/2014	14414 Hwy 231/431 N
SKATE CENTER CAROUSEL LLC	HUNTSVILLE	35805	98	Yes	1/29/2015	1201 Winner Ave
SKATE ODYSSEY, INC.	HUNTSVILLE	35803	96	Yes	1/5/2015	11319 S. Memorial Pkwy SW
SLEEP INN & SUITES	HUNTSVILLE	35816	98	Yes	10/31/2014	4727 University Drive
SMOOTHIE KING	HUNTSVILLE	35806	91	Yes	1/12/2015	6290 University Drive
SOUTHBREW COFFEE	HUNTSVILLE	35824	97	Yes	2/10/2015	3324 Wall Triana Highway
SPRING HILL SUITES HUNTSVILLE WEST	HUNTSVILLE	35806	93	Yes	1/9/2015	320 Providence Main
SPRINGHILL SUITES BY MARRIOTT BREAKFAST	HUNTSVILLE	35801	97	Yes	12/9/2014	745 Constellation Dr
SRI SHIRIDI SAI LLC DBA AIRPORT RD. CHEVRON	HUNTSVILLE	35802	96	Yes	7/10/2014	801 Airport Rd
SRINIVASAI INC. DBA EZ EXPRESS	HUNTSVILLE	35805	88	Yes	3/6/2015	4113 Bob Wallace Ave
ST. JOHN PAUL II CATHOLIC HIGH SCHOOL CONCESSION	HUNTSVILLE	35806	99	Yes	11/21/2014	7301 Old Madison Pike
STAR SUPERMARKET (COFFEE SHOP/BAKERY)	HUNTSVILLE	35801	96	Yes	2/18/2015	702 Pratt Ave
STAR SUPERMARKET (PRODUCE)	HUNTSVILLE	35801	93	Yes	2/18/2015	702 Pratt Ave
STAR SUPERMARKET (PRODUCE)	MERIDIANVILLE	35759	98	Yes	10/30/2014	12078 Hwy 231/431 N
STARBUCK'S COFFEE	HUNTSVILLE	35816	99	Yes	10/21/2014	301 Sparkman Dr
STARBUCKS - UAH UNIV CTR	HUNTSVILLE	35899	98	Yes	10/21/2014	301 Sparkman Dr
SUBWAY # 23027	GURLEY	35748	92	Yes	3/3/2015	5955 Hwy 72 E
SUNDOWN CLUB	HUNTSVILLE	35801	96	No	2/17/2015	409 Oakwood Ave
SUPER VALUE GROCERY	HARVEST	35749	90	Yes	2/24/2015	8286 Wall Triana Hwy
SUPER VALUE MINI MART	HARVEST	35749	88	Yes	8/29/2014	1811 Nick Davis Road
SUPERMERCADO LA COLONIAL (RETAIL)	HUNTSVILLE	35810	92	Yes	1/29/2015	1222-B Jordan Lane
SUPERTARGET # 1346 (PRODUCE)	HUNTSVILLE	35806	98	Yes	10/6/2014	6275 University Dr NW
SUPERTARGET # 1367 (PRODUCE)	HUNTSVILLE	35802	97	Yes	12/1/2014	2750 Carl T. Jones Dr. SE #7
SVG, INC./ SUNOCO BUSY BEE MKT	HUNTSVILLE	35802	90		1/28/2015	8000 South Memorial Parkway
SWEET CECE'S FROZEN YOGURT & TREATS	OWENS CROSS ROADS	35763	93	Yes	3/19/2014	326 Sutton Road
SWEET FROG YOGURT SHOP	HUNTSVILLE	35802	97		5/6/2014	5000 Whitesburg Drive South, S
THE BEEF JERKY OUTLET	MADISON	35758	96		3/12/2015	107 Brookridge  Drive, Suite F
THE CORNER STORE	NEW HOPE	35760	95	Yes	1/22/2015	10351 Hwy 431 S
THE FOYER TO GO UAH BUSINESS ADMIN. BLDG.	HUNTSVILLE	35899	96	Yes	8/21/2014	301 Sparkman Dr.
THE FRESH MARKET, INC (PRODUCE)	HUNTSVILLE	35802	95	Yes	10/27/2014	4800 Whitesburg Drive
THE KAFFEEKLATSCH, INC	HUNTSVILLE	35801	93	Yes	12/17/2014	103 Jefferson St. N.
